iter	Passed	Remaining
323	512077	1384504
324	513238	1381797
325	514432	1379185
326	515876	1377248
327	517435	1375620
328	518957	1373897
329	520235	1371528
330	521594	1369382
331	522576	1366255
332	523853	1363907
333	524980	1361176
334	526221	1358751
335	527464	1356337
336	528660	1353811
337	529825	1351211
338	530930	1348470
339	532064	1345809
340	533269	1343339
341	534426	1340754
342	535630	1338294
343	536770	1335685
344	538178	1333746
345	539407	1331368
346	540825	1329463
347	542396	1327937
348	543444	1325132
349	544603	1322607
350	545750	1320062
351	546842	1317394
352	548099	1315128
353	549815	1313965
354	551649	1313081
355	552928	1310874
356	554189	1308632
357	555647	1306858
358	555716	1301831
359	557029	1299736
360	558270	1297476
361	559740	1295754
362	561369	1294396
